,Location,Price,Apt Type,Num of Bath,Neighborhood,District
0,"530 West 50th Street, Apt 2 RE...","4,500",2 Bed,1,Hell's Kitchen, Midtown Manhattan
1,"524 West 50th Street, Apt 2B","2,395",Studio,1,Hell's Kitchen, Midtown Manhattan
2,37 1/2 Bedford St,"3,200",Studio,1,West Village, Downtown Manhattan
3,"96 5th Avenue, Apt 12A","5,750","1 Bed
/ Flex 2",1,Flatiron District, Midtown Manhattan
4,"1 Astor Place, Apt 6V","4,750",1 Bed,1,NoHo, Downtown Manhattan
5,767 Ninth Avenue,"3,375",1 Bed,1,Hell's Kitchen, Midtown Manhattan
6,"625 East 14th Street, Apt OMK","3,850",1 Bed,1,Stuyvesant Town - Peter Cooper Village, Midtown Manhattan
7,310 West 137th Street,"3,425",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
8,"171 East 89th Street, Apt 9B","3,700",1 Bed,1,Upper East Side, Upper Manhattan
9,"392 Central Park West, Apt 7H","5,995",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
10,"95 Wall Street, Apt 313","3,889",Studio,1,Financial District, Downtown Manhattan
11,"808 Columbus Ave, Apt 10B","7,042",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
12,"95 Wall Street, Apt 801","3,919",Studio,1,Financial District, Downtown Manhattan
13,"116 John Street, Apt 1606","5,454",3 Bed,2,Financial District, Downtown Manhattan
14,145 4th Avenue,"5,300",1 Bed,1,Greenwich Village, Downtown Manhattan
15,"334 East 93 Street, Apt 11","2,350",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
16,"13 East 7th Street, Apt 34","7,800",3 Bed,2,East Village, Downtown Manhattan
17,"60 East 12th Street, Apt 10J","5,700",1 Bed,1,Greenwich Village, Downtown Manhattan
18,117 West 13th Street,"3,900",1 Bed,1,West Village, Downtown Manhattan
19,"808 Columbus Avenue, Apt 06M","7,779",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
20,"747 10th Avenue, Apt 24H","4,300","2 Bed
/ Flex 3",1,Hell's Kitchen, Midtown Manhattan
21,"746 9th Avenue, Apt 5C","4,261",2 Bed,1.5,Hell's Kitchen, Midtown Manhattan
22,117 West 13th Street,"3,900",1 Bed,1,West Village, Downtown Manhattan
23,"808 Columbus Avenue, Apt 06M","7,779",2 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
24,235 West 18th Street,"4,650",1 Bed,1,Chelsea, Midtown Manhattan
25,629 East 5th Street,"5,825",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
26,East 3rd Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
27,"335 East 92 Street, Apt 4D","2,300",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
28,East 46th Street,"3,499",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
29,"402 East 83rd Street, Apt 5B","3,000",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
